data_size,threads,implementation,schedule,mean_time,std_time,min_time,max_time,sequential_time,speedup_vs_sequential,efficiency,simd_speedup,simd_advantage_percent,simd_significant
10000000,1,simd,none,0.0208000088,0.004076760392790542,0.015600014,0.02579999,0.0194399932,0.9346146622784121,0.9346146622784121,0.9346146622784121,-6.995967467725247,0
10000000,2,parallel,dynamic,0.2370799924,0.0037459391506900305,0.232599974,0.241000032,0.0194399932,0.08199761187439619,0.040998805937198096,0.9346146622784121,-1119.5477125989942,0
10000000,2,parallel,guided,0.0164400006,0.000983878519172107,0.015999985,0.018200016,0.0194399932,1.1824812950432615,0.5912406475216307,0.9346146622784121,15.432066097636277,0
10000000,2,parallel,static,0.0163600066,0.0004336023068403804,0.015999985,0.017000008,0.0194399932,1.1882631636591148,0.5941315818295574,0.9346146622784121,15.843558011121104,0
10000000,4,parallel,dynamic,0.2791200064,0.005527370847013287,0.271800041,0.28499999,0.0194399932,0.0696474374973359,0.017411859374333975,0.9346146622784121,-1335.803004293232,0
10000000,4,parallel,guided,0.0183600046,0.000517681910178247,0.017600012,0.019000006,0.0194399932,1.0588228937589699,0.26470572343974247,0.9346146622784121,5.555498856861731,0
10000000,4,parallel,static,0.01816,0.0007402860262364802,0.017399979,0.019200039,0.0194399932,1.0704842070484581,0.26762105176211454,0.9346146622784121,6.584329463654336,0
10000000,8,parallel,dynamic,0.690360012,0.04833536125033287,0.624600029,0.744799995,0.0194399932,0.028159210936452673,0.003519901367056584,0.9346146622784121,-3451.235871831478,0
10000000,8,parallel,guided,0.019319992,0.00017889130816783742,0.019199991,0.01960001,0.0194399932,1.0062112448079688,0.1257764056009961,0.9346146622784121,0.6172903393813804,0
10000000,8,parallel,static,0.019520006,0.00022803530466903658,0.019199991,0.019799995,0.0194399932,0.9959009848665005,0.12448762310831256,0.9346146622784121,-0.41158862133758933,0
20000000,1,parallel,dynamic,0.2729600048,0.0028263049163247092,0.26960001,0.276200008,0.0325599958,0.1192848594205476,0.1192848594205476,1.0086734715373127,-738.3293612095613,0
20000000,1,parallel,guided,0.030599994600000003,0.0007211040846259985,0.029800034,0.031599998,0.0325599958,1.0640523381007392,1.0640523381007392,1.0086734715373127,6.019660481651521,0
20000000,1,parallel,static,0.03131999,0.00215220807549607,0.0296,0.03499999,0.0325599958,1.0395915132795381,1.0395915132795381,1.0086734715373127,3.8083721128735504,0
20000000,1,sequential,none,0.0325599958,0.005062407300904497,0.029999971,0.041599989,0.0325599958,1.0,1.0,1.0086734715373127,0.0,0
20000000,1,simd,none,0.032280016,0.0038486475936954164,0.029799986,0.039000034,0.0325599958,1.0086734715373127,1.0086734715373127,1.0086734715373127,0.8598889315581438,0
20000000,2,parallel,dynamic,0.5327600192,0.033742382872585734,0.482200003,0.56960001,0.0325599958,0.06111568929082281,0.030557844645411406,1.0086734715373127,-1536.241056271881,0
20000000,2,parallel,guided,0.0354399968,0.006359873545934164,0.031999969,0.046799994,0.0325599958,0.918735856093531,0.4593679280467655,1.0086734715373127,-8.845213057429204,0
20000000,2,parallel,static,0.0338799952,0.0022829771266015147,0.031999969,0.037799978,0.0325599958,0.961038973228662,0.480519486614331,1.0086734715373127,-4.054052734245134,0
20000000,4,parallel,dynamic,0.6566399956000001,0.02072360193933851,0.6296,0.687799978,0.0325599958,0.04958576391657126,0.012396440979142815,1.0086734715373127,-1916.7078633345525,0
20000000,4,parallel,guided,0.0363199996,0.0010733091449546593,0.035600042,0.038199997,0.0325599958,0.8964756651594236,0.2241189162898559,1.0086734715373127,-11.547924708270392,0
20000000,4,parallel,static,0.0363199806,0.001136656377393713,0.03499999,0.03739996,0.0325599958,0.8964761341309746,0.22411903353274365,1.0086734715373127,-11.54786635445452,0
20000000,8,parallel,dynamic,1.5423999882000001,0.033099838779071834,1.500400019,1.584599972,0.0325599958,0.02110995594469494,0.0026387444930868675,1.0086734715373127,-4637.101311911103,0
20000000,8,parallel,guided,0.038679990600000005,0.00033468131170981516,0.038399982,0.03920002,0.0325599958,0.8417787929865731,0.10522234912332164,1.0086734715373127,-18.796055250105432,0
20000000,8,parallel,static,0.038599987,0.000707126297485819,0.037999964,0.039800024,0.0325599958,0.8435234913421084,0.10544043641776354,1.0086734715373127,-18.550343916199168,0
