data_size,run,threads,implementation,schedule,time_seconds,checksum
10000000,3,1,simd,none,0.013096651,333433293323337.69
10000000,4,1,sequential,none,0.013350879,333433293323337.69
10000000,4,1,simd,none,0.013518924,333433293323337.69
10000000,5,1,sequential,none,0.016937249,333433293323337.69
10000000,5,1,simd,none,0.017902701,333433293323337.69
10000000,6,1,sequential,none,0.011211374,333433293323337.69
10000000,6,1,simd,none,0.011987560,333433293323337.69
10000000,7,1,sequential,none,0.010762697,333433293323337.69
10000000,7,1,simd,none,0.011080003,333433293323337.69
10000000,1,1,parallel,static,0.011369202,333433293323337.69
10000000,1,1,parallel,dynamic,0.160810002,333433293323337.69
10000000,1,1,parallel,guided,0.009978757,333433293323337.69
10000000,2,1,parallel,static,0.009863718,333433293323337.69
10000000,2,1,parallel,dynamic,0.170982962,333433293323337.69
10000000,2,1,parallel,guided,0.011500577,333433293323337.69
10000000,3,1,parallel,static,0.012091558,333433293323337.69
10000000,3,1,parallel,dynamic,0.167672551,333433293323337.69
10000000,3,1,parallel,guided,0.011464055,333433293323337.69
10000000,4,1,parallel,static,0.010190710,333433293323337.69
10000000,4,1,parallel,dynamic,0.177581981,333433293323337.69
10000000,4,1,parallel,guided,0.012827119,333433293323337.69
10000000,5,1,parallel,static,0.013590968,333433293323337.69
10000000,5,1,parallel,dynamic,0.168798356,333433293323337.69
10000000,5,1,parallel,guided,0.012794034,333433293323337.69
10000000,6,1,parallel,static,0.012542517,333433293323337.69
10000000,6,1,parallel,dynamic,0.163707077,333433293323337.69
10000000,6,1,parallel,guided,0.011404812,333433293323337.69
10000000,7,1,parallel,static,0.011200553,333433293323337.69
10000000,7,1,parallel,dynamic,0.159049035,333433293323337.69
10000000,7,1,parallel,guided,0.011806568,333433293323337.69
10000000,1,2,parallel,static,0.008179259,333433293323337.69
10000000,1,2,parallel,dynamic,0.551789716,333433293323337.69
10000000,1,2,parallel,guided,0.006935256,333433293323337.69
10000000,2,2,parallel,static,0.007646815,333433293323337.69
10000000,2,2,parallel,dynamic,0.541436419,333433293323337.69
10000000,2,2,parallel,guided,0.008133453,333433293323337.69
10000000,3,2,parallel,static,0.007753320,333433293323337.69
10000000,3,2,parallel,dynamic,0.546276313,333433293323337.69
10000000,3,2,parallel,guided,0.007005166,333433293323337.69
10000000,4,2,parallel,static,0.007170838,333433293323337.69
10000000,4,2,parallel,dynamic,0.527693826,333433293323337.69
10000000,4,2,parallel,guided,0.007151116,333433293323337.69
10000000,5,2,parallel,static,0.007248672,333433293323337.69
10000000,5,2,parallel,dynamic,0.495346150,333433293323337.69
10000000,5,2,parallel,guided,0.008581599,333433293323337.69
10000000,6,2,parallel,static,0.008726173,333433293323337.69
10000000,6,2,parallel,dynamic,0.528404650,333433293323337.69
10000000,6,2,parallel,guided,0.007609684,333433293323337.69
10000000,7,2,parallel,static,0.008418955,333433293323337.69
10000000,7,2,parallel,dynamic,0.516449287,333433293323337.69
10000000,7,2,parallel,guided,0.007881736,333433293323337.69
10000000,1,4,parallel,static,0.006354762,333433293323337.69
